,Authors,Title,Year,EID,DOI,drone_name
0,Zhang N.; Nex F.; Vosselman G.; Kerle N.,End-to-End Nano-Drone Obstacle Avoidance for Indoor Exploration,2024,2-s2.0-85187252891,10.3390/drones8020033,Bitcraze Crazyflie
1,Cereda E.; Rusci M.; Giusti A.; Palossi D.,On-device Self-supervised Learning of Visual Perception Tasks aboard Hardware-limited Nano-quadrotors,2024,2-s2.0-85202429925,10.1109/ICRA57147.2024.10610317,Bitcraze Crazyflie
2,Oursland J.; Mehrabian M.,An Invariant Extended Kalman Filter for IMU-UWB Sensor Fusion,2024,2-s2.0-85209807605,10.1109/RO-MAN60168.2024.10731434,Bitcraze Crazyflie
3,Nava M.; Carlotti N.; Crupi L.; Palossi D.; Giusti A.,Self-Supervised Learning of Visual Robot Localization Using LED State Prediction as a Pretext Task,2024,2-s2.0-85186847967,10.1109/LRA.2024.3365973,Bitcraze Crazyflie
4,Do T.-D.; Xuan-Mung N.; Lee Y.-S.; Hong S.-K.,End-to-End Deep Reinforcement Learning-based Nano Quadcopter Low-level Controller,2024,2-s2.0-85214395442,10.23919/ICCAS63016.2024.10773182,Bitcraze Crazyflie
5,Chen S.; Sun Y.; Li P.; Zhou L.; Lu C.-T.,Learning Decentralized Flocking Controllers with Spatio-Temporal Graph Neural Network,2024,2-s2.0-85202436581,10.1109/ICRA57147.2024.10610627,Bitcraze Crazyflie
6,Lamberti L.; Bellone L.; Macan L.; Natalizio E.; Conti F.; Palossi D.; Benini L.,Distilling Tiny and Ultrafast Deep Neural Networks for Autonomous Navigation on Nano-UAVs,2024,2-s2.0-85199568251,10.1109/JIOT.2024.3431913,Bitcraze Crazyflie
7,Thomas D.; Jain D.,Precision mapping and obstacle detection with LIDAR-equipped nano drone,2024,2-s2.0-85201298554,10.1063/5.0209025,Custom
8,Lamberti L.; Cereda E.; Abbate G.; Bellone L.; Morinigo V.J.K.; Barcis M.; Barcis A.; Giusti A.; Conti F.; Palossi D.,A Sim-to-Real Deep Learning-Based Framework for Autonomous Nano-Drone Racing,2024,2-s2.0-85182360554,10.1109/LRA.2024.3349814,Bitcraze Crazyflie
9,Karagüzel T.A.; van Diggelen F.; Rincon A.G.; Ferrante E.,Self-organized Flocking in Three Dimensions,2024,2-s2.0-85205123406,10.1007/978-3-031-70932-6_12,Bitcraze Crazyflie
10,Yang Y.; Mei J.; Deng C.; Ma G.,Distributed Event-Triggered Formation Control of MASs With Parametric Uncertainties Under a Directed Graph: Application to Multiple Quadrotors,2024,2-s2.0-85212344485,10.1109/TIE.2024.3485710,Bitcraze Crazyflie
11,Tayal M.; Singh R.; Keshavan J.; Kolathaya S.,Control Barrier Functions in Dynamic UAVs for Kinematic Obstacle Avoidance: A Collision Cone Approach,2024,2-s2.0-85204419757,10.23919/ACC60939.2024.10644548,Bitcraze Crazyflie
12,Nguyen K.; Schoedel S.; Alavilli A.; Plancher B.; Manchester Z.,TinyMPC: Model-Predictive Control on Resource-Constrained Microcontrollers,2024,2-s2.0-85201762942,10.1109/ICRA57147.2024.10610987,Bitcraze Crazyflie
13,da C. Vangasse A.; J. R. Freitas E.; V. Raffo G.; C. A. Pimenta L.,Safe Navigation on Path-Following Tasks: A Study of MPC-based Collision Avoidance Schemes in Distributed Robot Systems,2024,2-s2.0-85210395015,10.1007/s10846-024-02202-3,Bitcraze Crazyflie
14,Kiran Anoop_Kiran@Brown.Edu A.; Harutyunyan N.; Ayanian N.; Breuer K.,"Downwash Dynamics: Impact of Separation on Forces, Moments, and Velocities for Dense Quadrotor Flight",2024,2-s2.0-85203236024,10.2514/6.2024-4145,Bitcraze Crazyflie
15,Sharma T.P.; Solanki A.; Jain T.; Malhotra A.; Bhutani M.,Wi-Fi based quadcopter drone with battery monitoring and optimization using crazyflie platform,2024,2-s2.0-85180654312,10.1007/s41870-023-01639-3,Bitcraze Crazyflie
16,Mekdad Y.; Acar A.; Aris A.; El Fergougui A.; Conti M.; Lazzeretti R.; Uluagac S.,Exploring Jamming and Hijacking Attacks for Micro Aerial Drones,2024,2-s2.0-85202811480,10.1109/ICC51166.2024.10623000,Bitcraze Crazyflie
17,Arias-Perez P.; Gautam A.; Fernandez-Cortizas M.; Perez-Saura D.; Saripalli S.; Campoy P.,Exploring Unstructured Environments Using Minimal Sensing on Cooperative Nano-Drones,2024,2-s2.0-85207964162,10.1109/LRA.2024.3486212,Bitcraze Crazyflie
18,Zheng H.; Ma H.; Zheng S.; Li S.E.; Wang J.,Synthesize Efficient Safety Certificates for Learning-Based Safe Control using Magnitude Regularization,2024,2-s2.0-85202432878,10.1109/ICRA57147.2024.10610959,Bitcraze Crazyflie
19,Greiff M.; Sinhmar H.; Weiss A.; Berntorp K.; Cairano S.D.,"Invariant Set Planning for Quadrotors: Design, Analysis, Experiments",2024,2-s2.0-85209754649,10.1109/TCST.2024.3492813,Bitcraze Crazyflie
20,Priandana K.; Khairi F.; Wulandari; Hardhienata M.K.D.; Atman M.W.S.,Optimizing UAV Routes: An Implementation and Evaluation of Ant-Colony Optimization Algorithm on Crazyflie Quadcopter for Solving the Traveling Salesman Problem,2024,2-s2.0-85198503734,10.1088/1755-1315/1359/1/012037,Bitcraze Crazyflie
21,Cereda E.; Giusti A.; Palossi D.,Training on the Fly: On-Device Self-Supervised Learning Aboard Nano-Drones Within 20 mW,2024,2-s2.0-85202723540,10.1109/TCAD.2024.3447208,Bitcraze Crazyflie
22,Masalimov K.; Muslimov T.; Kozlov E.; Munasypov R.,CrazyPAD: A Dataset for Assessing the Impact of Structural Defects on Nano-Quadcopter Performance,2024,2-s2.0-85197239101,10.3390/data9060079,Bitcraze Crazyflie
23,Mohan M.S.; Muthusamy J.; Paramasivam K.; Deepak A.S.; Subramanian R.,Indigenously modelled nano quadcopter for autonomous indoor surveillance and inspection,2024,2-s2.0-85188321101,10.1063/5.0195291,Custom
24,Kessler N.; Fagiano L.,On the Design of Terminal Ingredients for Linear Time Varying Model Predictive Control: Theory and Experimental Application,2024,2-s2.0-85206087125,10.1016/j.ifacol.2024.09.041,Bitcraze Crazyflie
25,Zauli M.; Zonzini F.; Sciullo G.; Marzani A.; de Marchi L.,Evaluating Unmanned Aerial Vehicles for Vibrational Analysis: Exploiting Integrated Capabilities of Nano-Drones as Nodes in a WSN,2024,2-s2.0-85202577861,10.58286/29781,Bitcraze Crazyflie
26,Bejarano F.P.; Brunke L.; Schoellig A.P.,Safety Filtering While Training: Improving the Performance and Sample Efficiency of Reinforcement Learning Agents,2024,2-s2.0-85211493177,10.1109/LRA.2024.3512374,Bitcraze Crazyflie
27,Mengozzi S.; Zanatta L.; Barchi F.; Bartolini A.; Acquaviva A.,Towards Nano-Drones Agile Flight Using Deep Reinforcement Learning,2024,2-s2.0-85202556488,10.1109/COINS61597.2024.10622558,Bitcraze Crazyflie
28,Peter R.; Ratnabala L.; Aschu D.; Fedoseev A.; Tsetserukou D.,Lander.AI: DRL-based Autonomous Drone Landing on Moving 3D Surface in the Presence of Aerodynamic Disturbances,2024,2-s2.0-85197448875,10.1109/ICUAS60882.2024.10556835,Bitcraze Crazyflie
29,Eschmann J.; Albani D.; Loianno G.,Learning to Fly in Seconds,2024,2-s2.0-85192182592,10.1109/LRA.2024.3396025,Bitcraze Crazyflie
30,Ma C.; Xi N.; Lu D.; Feng Y.; Ma J.,CToMP: a cycle-task-oriented memory protection scheme for unmanned systems,2024,2-s2.0-85189302703,10.1007/s11432-023-3865-0,Bitcraze Crazyflie
31,Hegde S.; Huang Z.; Sukhatme G.S.,HyperPPO: A scalable method for finding small policies for robotic control,2024,2-s2.0-85202444187,10.1109/ICRA57147.2024.10610861,Bitcraze Crazyflie
32,Müller H.; Kartsch V.; Magno M.; Benini L.,BatDeck: Advancing Nano-Drone Navigation with Low-Power Ultrasound-Based Obstacle Avoidance,2024,2-s2.0-85203681908,10.1109/SAS60918.2024.10636518,Bitcraze Crazyflie
33,Valente L.; Nadalini A.; Veeran A.H.C.; Sinigaglia M.; Sa B.; Wistoff N.; Tortorella Y.; Benatti S.; Psiakis R.; Kulmala A.; Mohammad B.; Pinto S.; Palossi D.; Benini L.; Rossi D.,A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation,2024,2-s2.0-85184794917,10.1109/TCSI.2024.3359044,Bitcraze Crazyflie
34,Asignacion A.; Suzuki S.,Frequency-Based Robust Control for Micro Quadrotors Flying in Narrow Vertical Spaces,2024,2-s2.0-85204701916,10.1109/ACCESS.2024.3464492,Bitcraze Crazyflie
35,Labbadi M.; Chatri C.; Khenfri F.,Fixed-time controller for altitude/yaw control of mini-drone based on nonsingular terminal sliding mode: Real-time implementation with uncertainties,2024,2-s2.0-85201303597,10.1016/j.ifacsc.2024.100278,Parrot Mambo
36,Crupi L.; Butera L.; Ferrante A.; Palossi D.,A Deep Learning-based Pest Insect Monitoring System for Ultra-low Power Pocket-sized Drones,2024,2-s2.0-85202347264,10.1109/DCOSS-IoT61029.2024.00056,Bitcraze Crazyflie
37,Chiun J.; Tan Y.R.; Cao Y.; Tan J.; Sartoretti G.,STAR: Swarm Technology for Aerial Robotics Research,2024,2-s2.0-85214390359,10.23919/ICCAS63016.2024.10773308,Bitcraze Crazyflie
38,Sinhmar H.; Greiff M.; Cairano S.D.,Practical and Safe Navigation Function Based Motion Planning of UAVs,2024,2-s2.0-85202437982,10.1109/ICRA57147.2024.10611255,Bitcraze Crazyflie
39,Sreedhara A.K.; Padala D.; Mahesh S.; Cui K.; Li M.; Koeppl H.,Optimal Collaborative Transportation for Under-Capacitated Vehicle Routing Problems using Aerial Drone Swarms,2024,2-s2.0-85202447425,10.1109/ICRA57147.2024.10611698,Bitcraze Crazyflie
40,Pichierri L.; Carnevale G.; Notarstefano G.,Distributed Feedback Optimization for Multi-Robot Target Encirclement and Patrolling,2024,2-s2.0-85207017042,10.1109/CASE59546.2024.10711694,Bitcraze Crazyflie
41,Xie F.; Shi G.; O'Connell M.; Yue Y.; Chung S.-J.,Hierarchical Meta-learning-based Adaptive Controller,2024,2-s2.0-85202451368,10.1109/ICRA57147.2024.10611562,Bitcraze Crazyflie
42,Tayal M.; Kolathaya S.,Polygonal Cone Control Barrier Functions (PolyC2BF) for Safe Navigation in Cluttered Environments,2024,2-s2.0-85200565910,10.23919/ECC64448.2024.10591026,Bitcraze Crazyflie
43,Uppaluru H.; Ghufran M.; Rastgoftar H.,Fluid Flow Modeling and Experimental Evaluation of Unscrewed Aerial System Coordination,2024,2-s2.0-85197398191,10.1109/ICUAS60882.2024.10557029,Bitcraze Crazyflie
44,Seewald A.; Lerch C.J.; Chancan M.; Dollar A.M.; Abraham I.,Energy-Aware Ergodic Search: Continuous Exploration for Multi-Agent Systems with Battery Constraints,2024,2-s2.0-85202438299,10.1109/ICRA57147.2024.10609871,Bitcraze Crazyflie
45,Szécsi M.; Györök B.; Weinhardt-Kovács Á.; Beintema G.I.; Schoukens M.; Péni T.; Tóth R.,Deep learning of vehicle dynamics,2024,2-s2.0-85205756826,10.1016/j.ifacol.2024.08.542,Bitcraze Crazyflie
46,Tavares L.M.M.N.P.; De Angelis Cordeiro R.; Sarcinelli-Filho M.; Villa D.K.D.,Using LQG Control as the Inner Loop Controller in Quadrotor Navigation,2024,2-s2.0-85197370272,10.1109/ICUAS60882.2024.10556956,Bitcraze Crazyflie
